point_a,point_b,distance_m,diff_mm,flag
VO02_397,VO02_398,1.435,0,OK
VO02_401,VO02_402,1.437,2,OK
VO02_405,VO02_406,1.433,-2,OK
VO02_409,VO02_410,1.437,2,OK
VO02_453,VO02_454,1.438,3,OK
VO02_457,VO02_458,1.436,1,OK
VO02_461,VO02_462,1.439,4,OK
VO02_465,VO02_466,1.438,3,OK
VO02_469,VO02_470,1.442,7,ALERT
VO02_473,VO02_474,1.438,3,OK
VO02_477,VO02_478,1.439,4,OK
VO02_481,VO02_482,1.437,2,OK
VO02_485,VO02_486,1.433,-2,OK
VO02_489,VO02_490,1.434,-1,OK
VO02_533,VO02_534,1.435,0,OK
VO02_537,VO02_538,1.434,-1,OK
VO02_541,VO02_542,1.435,0,OK
VO02_545,VO02_546,1.432,-3,OK
VO02_549,VO02_550,1.433,-2,OK
VO02_553,VO02_554,1.437,2,OK
VO02_557,VO02_558,1.434,-1,OK
VO02_561,VO02_562,1.436,1,OK
VO02_565,VO02_566,1.434,-1,OK
VO02_569,VO02_570,1.430,-5,OK
VO02_613,VO02_614,1.436,1,OK
VO02_617,VO02_618,1.432,-3,OK
VO02_621,VO02_622,1.434,-1,OK
VO02_625,VO02_626,1.435,0,OK
VO02_629,VO02_630,1.434,-1,OK
VO02_633,VO02_634,1.433,-2,OK
VO02_637,VO02_638,1.431,-4,OK
VO02_639,VO02_640,1.439,4,OK
VO02_643,VO02_644,1.436,1,OK
VO02_647,VO02_648,1.433,-2,OK
VO02_691,VO02_692,1.436,1,OK
VO02_695,VO02_696,1.433,-2,OK
VO02_699,VO02_700,1.434,-1,OK
VO02_703,VO02_704,1.437,2,OK
VO02_707,VO02_708,1.433,-2,OK
VO02_711,VO02_712,1.436,1,OK
VO02_715,VO02_716,1.432,-3,OK
VO02_719,VO02_720,1.431,-4,OK
VO02_723,VO02_724,1.435,0,OK
VO02_727,VO02_728,1.435,0,OK
VO02_771,VO02_772,1.434,-1,OK
VO02_775,VO02_776,1.434,-1,OK
VO02_779,VO02_780,1.437,2,OK
VO02_783,VO02_784,1.433,-2,OK
VO02_787,VO02_788,1.434,-1,OK
VO02_791,VO02_792,1.433,-2,OK
VO02_795,VO02_796,1.431,-4,OK
VO02_799,VO02_800,1.431,-4,OK
VO02_803,VO02_804,1.435,0,OK
VO02_807,VO02_808,1.438,3,OK
VO02_851,VO02_852,1.437,2,OK
VO02_855,VO02_856,1.434,-1,OK
VO02_859,VO02_860,1.435,0,OK
VO02_863,VO02_864,1.435,0,OK
VO02_867,VO02_868,1.437,2,OK
VO02_871,VO02_872,1.438,3,OK
VO02_875,VO02_876,1.436,1,OK
VO02_879,VO02_880,1.432,-3,OK
VO02_883,VO02_884,1.434,-1,OK
VO02_887,VO02_888,1.434,-1,OK
VO02_931,VO02_932,1.436,1,OK
VO02_935,VO02_936,1.432,-3,OK
VO02_939,VO02_940,1.431,-4,OK
VO02_943,VO02_944,1.435,0,OK
VO02_947,VO02_948,1.434,-1,OK
VO02_951,VO02_952,1.437,2,OK
VO02_955,VO02_956,1.435,0,OK
VO02_959,VO02_960,1.437,2,OK
VO02_963,VO02_964,1.435,0,OK
VO02_967,VO02_968,1.437,2,OK
VO02_1011,VO02_1012,1.431,-4,OK
VO02_1015,VO02_1016,1.429,-6,ALERT
VO02_1019,VO02_1020,1.434,-1,OK
VO02_1023,VO02_1024,1.434,-1,OK
VO02_1027,VO02_1028,1.436,1,OK
VO02_1031,VO02_1032,1.437,2,OK
VO02_1035,VO02_1036,1.434,-1,OK
VO02_1039,VO02_1040,1.433,-2,OK
VO02_1043,VO02_1044,1.436,1,OK
VO02_1047,VO02_1048,1.429,-6,ALERT
VO02_1091,VO02_1092,1.436,1,OK
VO02_1095,VO02_1096,1.434,-1,OK
VO02_1099,VO02_1100,1.435,0,OK
VO02_1103,VO02_1104,1.435,0,OK
VO02_1107,VO02_1108,1.434,-1,OK
VO02_1111,VO02_1112,1.436,1,OK
VO02_1115,VO02_1116,1.435,0,OK
VO02_1119,VO02_1120,1.434,-1,OK
VO02_1123,VO02_1124,1.434,-1,OK
VO02_1127,VO02_1128,1.434,-1,OK
VO02_1171,VO02_1172,1.434,-1,OK
VO02_1175,VO02_1176,1.438,3,OK
VO02_1179,VO02_1180,1.435,0,OK
VO02_1183,VO02_1184,1.434,-1,OK
VO02_1187,VO02_1188,1.433,-2,OK
VO02_1191,VO02_1192,1.434,-1,OK
VO02_1195,VO02_1196,1.437,2,OK
VO02_1199,VO02_1200,1.431,-4,OK
VO02_1203,VO02_1204,1.434,-1,OK
VO02_1207,VO02_1208,1.434,-1,OK
VO02_1251,VO02_1252,1.436,1,OK
VO02_1255,VO02_1256,1.436,1,OK
VO02_1259,VO02_1260,1.434,-1,OK
VO02_1263,VO02_1264,1.433,-2,OK
VO02_1267,VO02_1268,1.433,-2,OK
VO02_1271,VO02_1272,1.433,-2,OK
VO02_1275,VO02_1276,1.429,-6,ALERT
VO02_1279,VO02_1280,1.433,-2,OK
VO02_1283,VO02_1284,1.432,-3,OK
VO02_1287,VO02_1288,1.431,-4,OK
VO02_1315,VO02_1316,1.437,2,OK
VO02_1345,VO02_1346,1.438,3,OK
VO02_1349,VO02_1350,1.435,0,OK
VO02_1353,VO02_1354,1.436,1,OK
VO02_1357,VO02_1358,1.435,0,OK
VO02_1361,VO02_1362,1.444,9,ALERT
VO02_1365,VO02_1366,1.435,0,OK
VO02_1369,VO02_1370,1.439,4,OK
VO02_1373,VO02_1374,1.435,0,OK
VO02_1377,VO02_1378,1.427,-8,ALERT
VO02_1421,VO02_1422,1.435,0,OK
VO02_1429,VO02_1430,1.434,-1,OK
VO02_1433,VO02_1434,1.440,5,OK
VO02_1437,VO02_1438,1.435,0,OK
VO02_1441,VO02_1442,1.434,-1,OK
VO02_1445,VO02_1446,1.433,-2,OK
VO02_1449,VO02_1450,1.437,2,OK
VO02_1453,VO02_1454,1.435,0,OK
VO02_1457,VO02_1458,1.435,0,OK
VO02_1501,VO02_1502,1.436,1,OK
VO02_1505,VO02_1506,1.433,-2,OK
VO02_1509,VO02_1510,1.435,0,OK
VO02_1513,VO02_1514,1.430,-5,OK
VO02_1517,VO02_1518,1.437,2,OK
VO02_1521,VO02_1522,1.438,3,OK
VO02_1529,VO02_1530,1.431,-4,OK
VO02_1533,VO02_1534,1.430,-5,OK
VO02_1537,VO02_1538,1.431,-4,OK
VO02_1569,VO02_1570,1.436,1,OK
VO02_1573,VO02_1574,1.436,1,OK
VO02_1577,VO02_1578,1.438,3,OK
VO02_1581,VO02_1582,1.436,1,OK
VO02_1585,VO02_1586,1.434,-1,OK
VO02_1589,VO02_1590,1.436,1,OK
VO02_1593,VO02_1594,1.434,-1,OK
VO02_1633,VO02_1634,1.432,-3,OK
VO02_1637,VO02_1638,1.432,-3,OK
VO02_1641,VO02_1642,1.430,-5,OK
VO02_1645,VO02_1646,1.433,-2,OK
VO02_1649,VO02_1650,1.432,-3,OK
VO02_1653,VO02_1654,1.431,-4,OK
VO02_1657,VO02_1658,1.433,-2,OK
VO02_1661,VO02_1662,1.436,1,OK
VO02_1665,VO02_1666,1.433,-2,OK
VO02_1973,VO02_1974,1.433,-2,OK
VO02_1977,VO02_1978,1.432,-3,OK
VO02_1981,VO02_1982,1.433,-2,OK
VO02_1985,VO02_1986,1.433,-2,OK
VO02_1989,VO02_1990,1.434,-1,OK
VO02_1993,VO02_1994,1.430,-5,OK
VO02_1997,VO02_1998,1.434,-1,OK
VO02_2001,VO02_2002,1.446,11,ALERT
VO02_2005,VO02_2006,1.432,-3,OK
VO02_2013,VO02_2014,1.434,-1,OK
VO02_2017,VO02_2018,1.435,0,OK
VO02_2021,VO02_2022,1.437,2,OK
VO02_2029,VO02_2030,1.433,-2,OK
VO02_2033,VO02_2034,1.428,-7,ALERT
VO02_2037,VO02_2038,1.438,3,OK
VO02_2041,VO02_2042,1.435,0,OK
VO02_2045,VO02_2046,1.429,-6,ALERT
VO02_2049,VO02_2050,1.444,9,ALERT
VO02_2053,VO02_2054,1.432,-3,OK
VO02_2057,VO02_2058,1.432,-3,OK
VO02_2061,VO02_2062,1.435,0,OK
VO02_2065,VO02_2066,1.434,-1,OK
VO02_2069,VO02_2070,1.439,4,OK
VO02_2073,VO02_2074,1.434,-1,OK
VO02_2077,VO02_2078,1.431,-4,OK
VO02_2081,VO02_2082,1.429,-6,ALERT
VO02_2085,VO02_2086,1.433,-2,OK
VO02_2089,VO02_2090,1.435,0,OK
VO02_2093,VO02_2094,1.433,-2,OK
VO02_2097,VO02_2098,1.439,4,OK
VO02_2101,VO02_2102,1.438,3,OK
VO02_2105,VO02_2106,1.426,-9,ALERT
VO02_2109,VO02_2110,1.438,3,OK
VO02_2113,VO02_2114,1.432,-3,OK
VO02_2117,VO02_2118,1.432,-3,OK
VO02_2121,VO02_2122,1.428,-7,ALERT
VO02_2125,VO02_2126,1.434,-1,OK
VO02_2129,VO02_2130,1.432,-3,OK
VO02_2133,VO02_2134,1.430,-5,OK
VO02_2137,VO02_2138,1.434,-1,OK
VO02_2141,VO02_2142,1.436,1,OK
VO02_2145,VO02_2146,1.434,-1,OK
VO02_2149,VO02_2150,1.430,-5,OK
VO02_2153,VO02_2154,1.432,-3,OK
VO02_2157,VO02_2158,1.430,-5,OK
VO02_2161,VO02_2162,1.429,-6,ALERT
VO02_2165,VO02_2166,1.429,-6,ALERT
VO02_2169,VO02_2170,1.432,-3,OK
VO02_2173,VO02_2174,1.432,-3,OK
VO02_2177,VO02_2178,1.432,-3,OK
VO02_2181,VO02_2182,1.431,-4,OK
VO02_2185,VO02_2186,1.431,-4,OK
VO02_2189,VO02_2190,1.434,-1,OK
VO02_2193,VO02_2194,1.434,-1,OK
VO02_2197,VO02_2198,1.436,1,OK
VO02_2201,VO02_2202,1.435,0,OK
VO02_2205,VO02_2206,1.435,0,OK
VO02_2209,VO02_2210,1.435,0,OK
VO02_2213,VO02_2214,1.433,-2,OK
VO02_2217,VO02_2218,1.432,-3,OK
VO02_2221,VO02_2222,1.436,1,OK
VO02_2225,VO02_2226,1.435,0,OK
VO02_2229,VO02_2230,1.431,-4,OK
VO02_2233,VO02_2234,1.431,-4,OK
VO02_2237,VO02_2238,1.432,-3,OK
VO02_2241,VO02_2242,1.436,1,OK
VO02_2245,VO02_2246,1.435,0,OK
VO02_2249,VO02_2250,1.428,-7,ALERT
VO02_2253,VO02_2254,1.434,-1,OK
VO02_2257,VO02_2258,1.435,0,OK
VO02_2261,VO02_2262,1.435,0,OK
VO02_2265,VO02_2266,1.436,1,OK
VO02_2269,VO02_2270,1.436,1,OK
VO02_2273,VO02_2274,1.437,2,OK
VO02_2277,VO02_2278,1.434,-1,OK
VO02_2281,VO02_2282,1.435,0,OK
VO02_2285,VO02_2286,1.436,1,OK
VO02_2355,VO02_2356,1.440,5,OK
VO02_2359,VO02_2360,1.434,-1,OK
VO02_2363,VO02_2364,1.428,-7,ALERT
VO02_2367,VO02_2368,1.428,-7,ALERT
VO02_2407,VO02_2408,1.440,5,OK
VO02_2411,VO02_2412,1.437,2,OK
VO02_2415,VO02_2416,1.433,-2,OK
VO02_2419,VO02_2420,1.435,0,OK
VO02_2423,VO02_2424,1.431,-4,OK
VO02_2427,VO02_2428,1.433,-2,OK
VO02_2431,VO02_2432,1.430,-5,OK
VO02_2437,VO02_2438,1.433,-2,OK
VO02_2445,VO02_2446,1.431,-4,OK
VO02_2453,VO02_2454,1.425,-10,ALERT
VO02_2461,VO02_2462,1.432,-3,OK
VO02_2469,VO02_2470,1.436,1,OK
VO02_2477,VO02_2478,1.435,0,OK
VO02_2485,VO02_2486,1.428,-7,ALERT
VO02_2493,VO02_2494,1.432,-3,OK
VO02_2501,VO02_2502,1.431,-4,OK
VO02_2509,VO02_2510,1.436,1,OK
VO02_2517,VO02_2518,1.436,1,OK
VO02_2525,VO02_2526,1.431,-4,OK
VO02_2533,VO02_2534,1.431,-4,OK
VO02_2541,VO02_2542,1.434,-1,OK
VO02_2549,VO02_2550,1.433,-2,OK
VO02_2557,VO02_2558,1.431,-4,OK
VO02_2565,VO02_2566,1.431,-4,OK
VO02_2607,VO02_2608,1.436,1,OK
VO02_2611,VO02_2612,1.436,1,OK
VO02_2615,VO02_2616,1.435,0,OK
VO02_2619,VO02_2620,1.433,-2,OK
VO02_2623,VO02_2624,1.437,2,OK
VO02_2627,VO02_2628,1.434,-1,OK
VO02_2631,VO02_2632,1.436,1,OK
VO02_2635,VO02_2636,1.436,1,OK
VO02_2639,VO02_2640,1.436,1,OK
VO02_2643,VO02_2644,1.438,3,OK
VO02_2647,VO02_2648,1.437,2,OK
VO02_2651,VO02_2652,1.434,-1,OK
VO02_2655,VO02_2656,1.434,-1,OK
VO02_2659,VO02_2660,1.436,1,OK
VO02_2663,VO02_2664,1.439,4,OK
VO02_2667,VO02_2668,1.436,1,OK
VO02_2671,VO02_2672,1.435,0,OK
VO02_2675,VO02_2676,1.434,-1,OK
VO02_2751,VO02_2752,1.435,0,OK
VO02_2755,VO02_2756,1.436,1,OK
VO02_2759,VO02_2760,1.434,-1,OK
VO02_2763,VO02_2764,1.431,-4,OK
VO02_2767,VO02_2768,1.432,-3,OK
VO02_2771,VO02_2772,1.435,0,OK
VO02_2775,VO02_2776,1.435,0,OK
VO02_2779,VO02_2780,1.436,1,OK
VO02_2803,VO02_2804,1.435,0,OK
VO02_2807,VO02_2808,1.435,0,OK
VO02_2811,VO02_2812,1.438,3,OK
VO02_2815,VO02_2816,1.433,-2,OK
VO02_2819,VO02_2820,1.434,-1,OK
VO02_2823,VO02_2824,1.437,2,OK
VO02_2827,VO02_2828,1.435,0,OK
VO02_2855,VO02_2856,1.436,1,OK
VO02_2859,VO02_2860,1.433,-2,OK
VO02_2863,VO02_2864,1.437,2,OK
VO02_2867,VO02_2868,1.439,4,OK
VO02_2871,VO02_2872,1.432,-3,OK
VO02_2875,VO02_2876,1.434,-1,OK
VO02_2879,VO02_2880,1.439,4,OK
VO02_2883,VO02_2884,1.436,1,OK
VO02_2919,VO02_2920,1.437,2,OK
VO02_2923,VO02_2924,1.466,31,ALERT
VO02_2927,VO02_2928,1.437,2,OK
VO02_2931,VO02_2932,1.436,1,OK
VO02_2935,VO02_2936,1.434,-1,OK
VO02_2939,VO02_2940,1.430,-5,OK
VO02_2943,VO02_2944,1.440,5,OK
VO02_2971,VO02_2972,1.434,-1,OK
VO02_2975,VO02_2976,1.433,-2,OK
VO02_2979,VO02_2980,1.442,7,ALERT
VO02_2983,VO02_2984,1.439,4,OK
VO02_2987,VO02_2988,1.437,2,OK
VO02_2991,VO02_2992,1.436,1,OK
VO02_3031,VO02_3032,1.437,2,OK
VO02_3035,VO02_3036,1.434,-1,OK
VO02_3039,VO02_3040,1.438,3,OK
VO02_3043,VO02_3044,1.441,6,ALERT
VO02_3047,VO02_3048,1.439,4,OK
VO02_3051,VO02_3052,1.436,1,OK
VO02_3055,VO02_3056,1.436,1,OK
VO02_3067,VO02_3068,1.436,1,OK
VO02_3071,VO02_3072,1.436,1,OK
VO02_3115,VO02_3116,1.439,4,OK
VO02_3119,VO02_3120,1.437,2,OK
VO02_3123,VO02_3124,1.808,373,ALERT
VO02_3127,VO02_3128,1.436,1,OK
VO02_3131,VO02_3132,1.438,3,OK
VO02_3135,VO02_3136,1.439,4,OK
VO02_3139,VO02_3140,1.435,0,OK
VO02_3143,VO02_3144,1.434,-1,OK
VO02_3147,VO02_3148,1.436,1,OK
VO02_3151,VO02_3152,1.435,0,OK
VO02_3155,VO02_3156,1.437,2,OK
VO02_3159,VO02_3160,1.435,0,OK
VO02_3163,VO02_3164,1.437,2,OK
VO02_3167,VO02_3168,1.432,-3,OK
VO02_3171,VO02_3172,1.437,2,OK
VO02_3175,VO02_3176,1.434,-1,OK
VO02_3179,VO02_3180,1.435,0,OK
VO02_3183,VO02_3184,1.436,1,OK
VO02_3235,VO02_3236,1.434,-1,OK
VO02_3239,VO02_3240,1.435,0,OK
VO02_3243,VO02_3244,1.435,0,OK
VO02_3251,VO02_3252,1.433,-2,OK
VO02_3259,VO02_3260,1.437,2,OK
VO02_3267,VO02_3268,1.437,2,OK
VO02_3307,VO02_3308,1.437,2,OK
VO02_3311,VO02_3312,1.435,0,OK
VO02_3315,VO02_3316,1.434,-1,OK
VO02_3319,VO02_3320,1.436,1,OK
VO02_3323,VO02_3324,1.437,2,OK
VO02_3327,VO02_3328,1.437,2,OK
VO02_3331,VO02_3332,1.435,0,OK
VO02_3335,VO02_3336,1.436,1,OK
VO02_3339,VO02_3340,1.436,1,OK
VO02_3379,VO02_3380,1.440,5,OK
VO02_3383,VO02_3384,1.435,0,OK
VO02_3387,VO02_3388,1.435,0,OK
VO02_3391,VO02_3392,1.435,0,OK
VO02_3395,VO02_3396,1.435,0,OK
VO02_3399,VO02_3400,1.438,3,OK
VO02_3403,VO02_3404,1.435,0,OK
VO02_3407,VO02_3408,1.435,0,OK
VO02_3411,VO02_3412,1.437,2,OK
VO02_3451,VO02_3452,1.512,77,ALERT
VO02_3455,VO02_3456,1.436,1,OK
VO02_3459,VO02_3460,1.433,-2,OK
VO02_3463,VO02_3464,1.436,1,OK
VO02_3467,VO02_3468,1.438,3,OK
VO02_3471,VO02_3472,9.725,8290,ALERT
VO02_3475,VO02_3476,11.238,9803,ALERT
VO02_3479,VO02_3480,1.432,-3,OK
VO02_3523,VO02_3524,1.436,1,OK
VO02_3527,VO02_3528,1.434,-1,OK
VO02_3531,VO02_3532,1.434,-1,OK
VO02_3535,VO02_3536,1.432,-3,OK
VO02_3543,VO02_3544,1.435,0,OK
VO02_3551,VO02_3552,1.435,0,OK
VO02_3555,VO02_3556,1.361,-74,ALERT
VO02_3595,VO02_3596,1.436,1,OK
VO02_3599,VO02_3600,3.279,1844,ALERT
VO02_3607,VO02_3608,1.437,2,OK
VO02_3611,VO02_3612,1.436,1,OK
VO02_3615,VO02_3616,1.435,0,OK
VO02_3619,VO02_3620,2.810,1375,ALERT
VO02_3623,VO02_3624,1.437,2,OK
VO02_3627,VO02_3628,1.438,3,OK
VO02_3635,VO02_3636,1.439,4,OK
VO02_3639,VO02_3640,1.437,2,OK
VO02_3643,VO02_3644,1.402,-33,ALERT
VO02_3647,VO02_3648,1.433,-2,OK
VO02_3651,VO02_3652,1.432,-3,OK
VO02_3655,VO02_3656,1.432,-3,OK
VO02_3715,VO02_3716,1.437,2,OK
VO02_3719,VO02_3720,1.428,-7,ALERT
VO02_3723,VO02_3724,1.437,2,OK
VO02_3727,VO02_3728,1.435,0,OK
VO02_3731,VO02_3732,1.436,1,OK
VO02_3735,VO02_3736,1.438,3,OK
VO02_3739,VO02_3740,1.439,4,OK
VO02_3779,VO02_3780,1.435,0,OK
VO02_3783,VO02_3784,1.430,-5,OK
VO02_3787,VO02_3788,1.434,-1,OK
VO02_3791,VO02_3792,1.424,-11,ALERT
VO02_3795,VO02_3796,1.431,-4,OK
VO02_3799,VO02_3800,1.412,-23,ALERT
VO02_3803,VO02_3804,1.439,4,OK
VO02_3807,VO02_3808,1.347,-88,ALERT
VO02_3811,VO02_3812,6.565,5130,ALERT
VO02_3851,VO02_3852,1.437,2,OK
VO02_3855,VO02_3856,1.434,-1,OK
VO02_3859,VO02_3860,1.441,6,ALERT
VO02_3863,VO02_3864,1.433,-2,OK
VO02_3867,VO02_3868,7.458,6023,ALERT
VO02_3871,VO02_3872,1.431,-4,OK
VO02_3875,VO02_3876,1.420,-15,ALERT
VO02_3919,VO02_3920,1.436,1,OK
VO02_3923,VO02_3924,1.437,2,OK
VO02_3927,VO02_3928,1.437,2,OK
VO02_3931,VO02_3932,1.440,5,OK
VO02_3935,VO02_3936,1.437,2,OK
VO02_3939,VO02_3940,1.432,-3,OK
VO02_3955,VO02_3956,1.438,3,OK
VO02_3959,VO02_3960,1.435,0,OK
VO02_3963,VO02_3964,1.440,5,OK
VO02_4003,VO02_4004,1.436,1,OK
VO02_4007,VO02_4008,1.433,-2,OK
VO02_4011,VO02_4012,1.436,1,OK
VO02_4015,VO02_4016,1.432,-3,OK
VO02_4019,VO02_4020,1.434,-1,OK
VO02_4023,VO02_4024,1.433,-2,OK
VO02_4027,VO02_4028,1.430,-5,OK
VO02_4031,VO02_4032,1.433,-2,OK
VO02_4035,VO02_4036,1.437,2,OK
VO02_4039,VO02_4040,1.432,-3,OK
VO02_4043,VO02_4044,1.434,-1,OK
VO02_4047,VO02_4048,9.670,8235,ALERT
VO02_4051,VO02_4052,1.172,-263,ALERT
VO02_4055,VO02_4056,1.436,1,OK
VO02_4059,VO02_4060,3.445,2010,ALERT
VO02_4087,VO02_4088,1.435,0,OK
VO02_4091,VO02_4092,1.431,-4,OK
VO02_4095,VO02_4096,1.435,0,OK
VO02_4099,VO02_4100,1.437,2,OK
VO02_4103,VO02_4104,1.437,2,OK
VO02_4131,VO02_4132,1.431,-4,OK
VO02_4135,VO02_4136,1.434,-1,OK
VO02_4139,VO02_4140,1.332,-103,ALERT
VO02_4143,VO02_4144,1.437,2,OK
VO02_4147,VO02_4148,1.439,4,OK
VO02_4167,VO02_4168,1.433,-2,OK
VO02_4171,VO02_4172,1.442,7,ALERT
VO02_4179,VO02_4180,1.437,2,OK
VO02_4183,VO02_4184,1.440,5,OK
VO02_4207,VO02_4208,1.434,-1,OK
VO02_4211,VO02_4212,1.435,0,OK
VO02_4215,VO02_4216,1.433,-2,OK
VO02_4219,VO02_4220,1.586,151,ALERT
VO02_4259,VO02_4260,1.437,2,OK
VO02_4263,VO02_4264,1.437,2,OK
VO02_4267,VO02_4268,1.437,2,OK
VO02_4271,VO02_4272,1.435,0,OK
VO02_4275,VO02_4276,1.436,1,OK
VO02_4299,VO02_4300,1.438,3,OK
VO02_4303,VO02_4304,1.433,-2,OK
VO02_4307,VO02_4308,1.435,0,OK
VO02_4311,VO02_4312,1.432,-3,OK
VO02_4315,VO02_4316,1.436,1,OK
VO02_4339,VO02_4340,1.435,0,OK
VO02_4343,VO02_4344,1.433,-2,OK
VO02_4347,VO02_4348,1.435,0,OK
VO02_4351,VO02_4352,1.435,0,OK
VO02_4355,VO02_4356,1.435,0,OK
VO02_4375,VO02_4376,1.436,1,OK
VO02_4379,VO02_4380,1.430,-5,OK
VO02_4383,VO02_4384,1.432,-3,OK
VO02_4387,VO02_4388,1.431,-4,OK
VO02_4399,VO02_4400,1.437,2,OK
VO02_4403,VO02_4404,1.436,1,OK
VO02_4407,VO02_4408,1.439,4,OK
VO02_4411,VO02_4412,1.433,-2,OK
VO02_4415,VO02_4416,1.433,-2,OK
VO02_4419,VO02_4420,1.435,0,OK
VO02_4447,VO02_4448,1.432,-3,OK
VO02_4451,VO02_4452,1.431,-4,OK
VO02_4455,VO02_4456,1.433,-2,OK
VO02_4459,VO02_4460,1.437,2,OK
VO02_4463,VO02_4464,1.438,3,OK
VO02_4483,VO02_4484,1.435,0,OK
VO02_4487,VO02_4488,1.434,-1,OK
VO02_4491,VO02_4492,1.539,104,ALERT
VO02_4571,VO02_4572,1.432,-3,OK
VO02_4579,VO02_4580,1.436,1,OK
VO02_4583,VO02_4584,1.434,-1,OK
VO02_4591,VO02_4592,1.435,0,OK
VO02_4599,VO02_4600,1.436,1,OK
VO02_4603,VO02_4604,1.432,-3,OK
VO02_4607,VO02_4608,1.436,1,OK
VO02_4611,VO02_4612,1.432,-3,OK
VO02_4615,VO02_4616,1.429,-6,ALERT
VO02_4623,VO02_4624,1.437,2,OK
VO02_4627,VO02_4628,1.438,3,OK
VO02_4635,VO02_4636,1.436,1,OK
VO02_4639,VO02_4640,1.441,6,ALERT
VO02_4647,VO02_4648,1.434,-1,OK
VO02_4651,VO02_4652,1.431,-4,OK
VO02_4655,VO02_4656,1.430,-5,OK
VO02_4659,VO02_4660,1.432,-3,OK
VO02_4663,VO02_4664,1.441,6,ALERT
VO02_4667,VO02_4668,1.435,0,OK
VO02_4671,VO02_4672,1.490,55,ALERT
VO02_4675,VO02_4676,1.703,268,ALERT
VO02_4679,VO02_4680,1.438,3,OK
VO02_4683,VO02_4684,1.430,-5,OK
VO02_4687,VO02_4688,1.437,2,OK
VO02_4691,VO02_4692,1.432,-3,OK
VO02_4695,VO02_4696,1.433,-2,OK
VO02_4699,VO02_4700,1.434,-1,OK
VO02_4799,VO02_4800,1.434,-1,OK
VO02_4803,VO02_4804,1.436,1,OK
VO02_4807,VO02_4808,1.435,0,OK
VO02_4811,VO02_4812,1.433,-2,OK
VO02_4815,VO02_4816,1.436,1,OK
VO02_4819,VO02_4820,1.441,6,ALERT
VO02_4867,VO02_4868,1.436,1,OK
VO02_4871,VO02_4872,1.439,4,OK
VO02_4875,VO02_4876,1.443,8,ALERT
VO02_4879,VO02_4880,1.429,-6,ALERT
VO02_4883,VO02_4884,1.432,-3,OK
VO02_4907,VO02_4908,1.435,0,OK
VO02_4911,VO02_4912,1.435,0,OK
VO02_4915,VO02_4916,1.436,1,OK
VO02_4919,VO02_4920,1.428,-7,ALERT
VO02_4923,VO02_4924,1.429,-6,ALERT
VO02_4943,VO02_4944,1.446,11,ALERT
VO02_4947,VO02_4948,1.436,1,OK
VO02_4955,VO02_4956,1.427,-8,ALERT
VO02_4983,VO02_4984,1.436,1,OK
VO02_4991,VO02_4992,1.439,4,OK
VO02_4995,VO02_4996,1.434,-1,OK
VO02_5019,VO02_5020,1.431,-4,OK
VO02_5027,VO02_5028,1.433,-2,OK
VO02_5035,VO02_5036,1.438,3,OK
VO02_5055,VO02_5056,1.441,6,ALERT
VO02_5059,VO02_5060,1.438,3,OK
VO02_5063,VO02_5064,1.436,1,OK
